date,v
1995-08-09 00:00:00+00:00,16789.33
1995-08-10 00:00:00+00:00,16728.97
1995-08-11 00:00:00+00:00,16792.34
1995-08-14 00:00:00+00:00,16916.57
1995-08-15 00:00:00+00:00,17452.72
1995-08-16 00:00:00+00:00,18158.73
1995-08-17 00:00:00+00:00,18149.7
1995-08-18 00:00:00+00:00,18032.49
1995-08-21 00:00:00+00:00,17871.05
1995-08-22 00:00:00+00:00,17877.77
1995-08-23 00:00:00+00:00,17731.98
1995-08-24 00:00:00+00:00,17921.99
1995-08-25 00:00:00+00:00,17770.68
1995-08-28 00:00:00+00:00,17847.29
1995-08-29 00:00:00+00:00,18135.16
1995-08-30 00:00:00+00:00,17983.86
1995-08-31 00:00:00+00:00,18117.22
1995-09-01 00:00:00+00:00,18120.73
1995-09-04 00:00:00+00:00,17748.52
1995-09-05 00:00:00+00:00,17794.04
1995-09-06 00:00:00+00:00,17620.38
1995-09-07 00:00:00+00:00,17621.18
1995-09-08 00:00:00+00:00,18279.55
1995-09-11 00:00:00+00:00,18486.11
1995-09-12 00:00:00+00:00,18472.17
1995-09-13 00:00:00+00:00,18614.26
1995-09-14 00:00:00+00:00,18758.55
1995-09-18 00:00:00+00:00,18319.16
1995-09-19 00:00:00+00:00,18474.38
1995-09-20 00:00:00+00:00,18198.64
1995-09-21 00:00:00+00:00,18034.79
1995-09-22 00:00:00+00:00,17713.93
1995-09-25 00:00:00+00:00,17566.43
1995-09-26 00:00:00+00:00,17921.98
1995-09-27 00:00:00+00:00,18262.43
1995-09-28 00:00:00+00:00,18022.86
1995-09-29 00:00:00+00:00,17913.06
1995-10-02 00:00:00+00:00,17739.84
1995-10-03 00:00:00+00:00,18142.99
1995-10-04 00:00:00+00:00,18145.08
1995-10-05 00:00:00+00:00,18220.41
1995-10-06 00:00:00+00:00,18506.28
1995-10-09 00:00:00+00:00,18176.27
1995-10-11 00:00:00+00:00,17891.19
1995-10-12 00:00:00+00:00,17971.4
1995-10-13 00:00:00+00:00,17880.83
1995-10-16 00:00:00+00:00,18016.44
1995-10-17 00:00:00+00:00,17916.6
1995-10-18 00:00:00+00:00,17895.97
1995-10-19 00:00:00+00:00,17955.36
1995-10-20 00:00:00+00:00,18157.33
1995-10-23 00:00:00+00:00,18156.24
1995-10-24 00:00:00+00:00,18014.25
1995-10-25 00:00:00+00:00,17970.81
1995-10-26 00:00:00+00:00,17726.68
1995-10-27 00:00:00+00:00,17337.19
1995-10-30 00:00:00+00:00,17509.17
1995-10-31 00:00:00+00:00,17654.64
1995-11-01 00:00:00+00:00,17474.49
1995-11-02 00:00:00+00:00,18028.8
1995-11-06 00:00:00+00:00,18036.97
1995-11-07 00:00:00+00:00,18021.22
1995-11-08 00:00:00+00:00,17863.29
1995-11-09 00:00:00+00:00,17821.04
1995-11-10 00:00:00+00:00,17843.56
1995-11-13 00:00:00+00:00,17789.46
1995-11-14 00:00:00+00:00,17802.51
1995-11-15 00:00:00+00:00,17682.74
1995-11-16 00:00:00+00:00,17939.52
1995-11-17 00:00:00+00:00,18151.16
1995-11-20 00:00:00+00:00,18383.82
1995-11-21 00:00:00+00:00,18384.32
1995-11-22 00:00:00+00:00,18239.84
1995-11-24 00:00:00+00:00,18215.23
1995-11-27 00:00:00+00:00,18543.14
1995-11-28 00:00:00+00:00,18688.42
1995-11-29 00:00:00+00:00,18533.98
1995-11-30 00:00:00+00:00,18744.42
1995-12-01 00:00:00+00:00,18833.1
1995-12-04 00:00:00+00:00,18897.37
1995-12-05 00:00:00+00:00,18879.53
1995-12-06 00:00:00+00:00,19067.86
1995-12-07 00:00:00+00:00,19412.32
1995-12-08 00:00:00+00:00,19286.97
1995-12-11 00:00:00+00:00,19226.78
1995-12-12 00:00:00+00:00,19312.77
1995-12-13 00:00:00+00:00,19283.48
1995-12-14 00:00:00+00:00,19499.3
1995-12-15 00:00:00+00:00,19346.55
1995-12-18 00:00:00+00:00,19311.08
1995-12-19 00:00:00+00:00,19140.49
1995-12-20 00:00:00+00:00,19448.59
1995-12-21 00:00:00+00:00,19653.25
1995-12-22 00:00:00+00:00,19744.42
1995-12-25 00:00:00+00:00,19775.41
1995-12-26 00:00:00+00:00,19904.72
1995-12-27 00:00:00+00:00,20011.76
1995-12-28 00:00:00+00:00,19873.13
1995-12-29 00:00:00+00:00,19868.15
1996-01-04 00:00:00+00:00,20618.0
1996-01-05 00:00:00+00:00,20669.03
1996-01-08 00:00:00+00:00,20563.58
1996-01-09 00:00:00+00:00,20652.08
1996-01-10 00:00:00+00:00,20612.32
1996-01-11 00:00:00+00:00,20377.92
1996-01-12 00:00:00+00:00,20287.42
1996-01-16 00:00:00+00:00,20567.07
1996-01-17 00:00:00+00:00,20570.26
1996-01-18 00:00:00+00:00,20370.04
1996-01-19 00:00:00+00:00,20365.76
1996-01-22 00:00:00+00:00,20196.53
1996-01-23 00:00:00+00:00,20080.92
1996-01-24 00:00:00+00:00,20312.74
1996-01-25 00:00:00+00:00,20414.69
1996-01-26 00:00:00+00:00,20663.84
1996-01-29 00:00:00+00:00,20589.2
1996-01-30 00:00:00+00:00,20722.44
1996-01-31 00:00:00+00:00,20812.74
1996-02-01 00:00:00+00:00,20935.12
1996-02-02 00:00:00+00:00,20904.03
1996-02-05 00:00:00+00:00,20653.38
1996-02-06 00:00:00+00:00,20751.15
1996-02-07 00:00:00+00:00,20943.49
1996-02-08 00:00:00+00:00,21118.3
1996-02-09 00:00:00+00:00,20934.82
1996-02-13 00:00:00+00:00,20784.23
1996-02-14 00:00:00+00:00,20943.59
1996-02-15 00:00:00+00:00,20886.19
1996-02-16 00:00:00+00:00,20802.77
1996-02-19 00:00:00+00:00,20721.25
1996-02-20 00:00:00+00:00,20655.67
1996-02-21 00:00:00+00:00,20372.23
1996-02-22 00:00:00+00:00,20340.94
1996-02-23 00:00:00+00:00,20300.38
1996-02-26 00:00:00+00:00,20480.27
1996-02-27 00:00:00+00:00,20000.4
1996-02-28 00:00:00+00:00,19919.97
1996-02-29 00:00:00+00:00,20125.37
1996-03-01 00:00:00+00:00,20168.63
1996-03-04 00:00:00+00:00,20063.88
1996-03-05 00:00:00+00:00,20183.87
1996-03-06 00:00:00+00:00,20241.18
1996-03-07 00:00:00+00:00,19957.15
1996-03-08 00:00:00+00:00,20155.87
1996-03-11 00:00:00+00:00,19796.29
1996-03-12 00:00:00+00:00,19950.27
1996-03-13 00:00:00+00:00,19734.7
1996-03-14 00:00:00+00:00,19923.66
1996-03-15 00:00:00+00:00,20190.85
1996-03-18 00:00:00+00:00,20285.13
1996-03-19 00:00:00+00:00,20442.6
1996-03-21 00:00:00+00:00,20727.53
1996-03-22 00:00:00+00:00,20700.92
1996-03-25 00:00:00+00:00,20915.44
1996-03-26 00:00:00+00:00,21014.77
1996-03-27 00:00:00+00:00,21329.98
1996-03-28 00:00:00+00:00,21295.82
1996-03-29 00:00:00+00:00,21406.85
1996-04-01 00:00:00+00:00,21560.39
1996-04-02 00:00:00+00:00,21600.08
1996-04-03 00:00:00+00:00,21464.73
1996-04-04 00:00:00+00:00,21471.16
1996-04-05 00:00:00+00:00,21695.84
1996-04-08 00:00:00+00:00,21424.24
1996-04-09 00:00:00+00:00,21744.17
1996-04-10 00:00:00+00:00,21791.7
1996-04-11 00:00:00+00:00,21694.43
1996-04-12 00:00:00+00:00,21660.47
1996-04-15 00:00:00+00:00,21883.04
1996-04-16 00:00:00+00:00,21868.17
1996-04-17 00:00:00+00:00,21816.22
1996-04-18 00:00:00+00:00,21812.5
1996-04-19 00:00:00+00:00,21883.84
1996-04-22 00:00:00+00:00,22123.89
1996-04-23 00:00:00+00:00,22119.88
1996-04-24 00:00:00+00:00,22282.05
1996-04-25 00:00:00+00:00,22230.1
1996-04-26 00:00:00+00:00,22235.03
1996-04-30 00:00:00+00:00,22041.3
1996-05-01 00:00:00+00:00,21815.01
1996-05-02 00:00:00+00:00,21662.38
1996-05-07 00:00:00+00:00,21495.2
1996-05-08 00:00:00+00:00,21728.6
1996-05-09 00:00:00+00:00,21411.88
1996-05-10 00:00:00+00:00,21420.12
1996-05-13 00:00:00+00:00,21171.82
1996-05-14 00:00:00+00:00,21301.05
1996-05-15 00:00:00+00:00,22055.97
1996-05-16 00:00:00+00:00,22147.21
1996-05-17 00:00:00+00:00,21916.6
1996-05-20 00:00:00+00:00,21979.0
1996-05-21 00:00:00+00:00,22091.74
1996-05-22 00:00:00+00:00,21958.0
